1,0.098,8.35,0.818,0.012,1.071
2,0.152,8.28,1.259,0.019,1.062
3,0.408,8.21,3.350,0.051,1.053
4,0.599,8.19,4.906,0.075,1.050
5,0.821,8.13,6.675,0.103,1.042
6,1.013,8.06,8.165,0.127,1.033
7,1.201,8.00,9.608,0.150,1.026
8,1.396,7.82,10.917,0.175,1.003
9,1.599,7.59,12.136,0.200,0.973
10,1.799,7.24,13.025,0.225,0.928
11,1.895,6.97,13.208,0.237,0.894
12,1.952,6.83,13.332,0.244,0.876
13,1.971,6.80,13.403,0.246,0.872
14,2.001,6.74,13.487,0.250,0.864
15,2.026,6.62,13.412,0.253,0.849
16,2.051,6.57,13.475,0.256,0.842
17,2.101,6.40,13.446,0.263,0.821
18,2.203,6.07,13.372,0.275,0.778
19,2.498,4.63,11.566,0.312,0.594
20,2.562,3.58,9.172,0.320,0.459
21,2.745,2.87,7.878,0.343,0.368
22,2.913,1.44,4.195,0.364,0.185
