1,0.163,112.7,18.370,0.163,1.789
2,0.180,112.7,20.286,0.180,1.789
3,0.197,111.9,22.044,0.197,1.776
4,0.220,111.1,24.442,0.220,1.763
5,0.239,109.9,26.266,0.239,1.744
6,0.261,108.5,28.319,0.261,1.722
7,0.280,106.2,29.736,0.280,1.686
8,0.299,103.9,31.066,0.299,1.649
9,0.321,99.6,31.972,0.321,1.581
10,0.326,98.3,32.046,0.326,1.560
11,0.330,97.3,32.109,0.330,1.544
12,0.338,94.7,32.009,0.338,1.503
13,0.340,94.0,31.960,0.340,1.492
14,0.344,92.8,31.923,0.344,1.473
15,0.360,88.0,31.680,0.360,1.397
16,0.380,78.0,29.640,0.380,1.238
17,0.398,66.5,26.467,0.398,1.056
18,0.419,47.9,20.070,0.419,0.760
19,0.430,35.5,15.265,0.430,0.563
20,0.452,2.79,1.261,0.452,0.044
